FIGI,TICKER,LOT,NAME,SECTOR,FIRST_TRADE_YEAR,PRICE_ANALYZE,VOLUME_ANALYZE,FIRST_DAY_ANALYZE,OVERALL_ANALYZE,NOWADAY_PRICE
BBG004S681M2,SNGSP,10,Сургутнефтегаз - привилегированные акции,energy,2000,0.4586403728093144,0.08867426548140517,0.8888888888888888,0.5635706001909032,57.15
BBG004S682Z6,RTKM,10,Ростелеком,telecom,2000,0.4593960741072014,0.08498851919467766,0.8888888888888888,0.5632948358662696,64.16
BBG000RTHVK7,GCHE,1,Группа Черкизово,consumer,2008,0.4899978965990799,0.12155779822638459,0.5925925925925926,0.5621098213807737,4046.0
BBG004S68BH6,PIKK,1,ПИК,real_estate,2007,0.4798712226952866,0.1345983793895859,0.6296296296296297,0.5610806625112889,491.0
BBG008HD3V85,UWGN,1,ОВК,industrials,2018,0.5752537429216567,0.003465039253058978,0.2222222222222222,0.56081617703069,57.5
BBG0047315Y7,SBERP,10,Сбер Банк - привилегированные акции,financial,2000,0.45440593432889137,0.08336402765640526,0.8888888888888888,0.5582368252873763,252.84
BBG004730N88,SBER,10,Сбер Банк,financial,2000,0.45339964045701114,0.08226420075974664,0.8888888888888888,0.5570122355907011,253.43
BBG00Y91R9T3,OZON,1,Ozon Holdings PLC,consumer,2020,0.5534753926242,0.09849482564798477,0.14814814814814814,0.5559856325120516,3458.5
BBG004RVFCY3,MGNT,1,Магнит,consumer,2006,0.49318178706442434,0.0463799929488863,0.6666666666666666,0.554956756107837,4822.5
BBG004S68829,TATNP,1,Татнефть - привилегированные акции,energy,2007,0.48860257681129693,0.06968961081872933,0.6296296296296297,0.5519796709988739,575.4
TCS00A103X66,POSI,1,Группа Позитив,it,2021,0.5504405781430116,0.10458969237600291,0.1111111111111111,0.5498795815545467,2077.8
BBG000RJWGC4,AMEZ,100,Ашинский метзавод,materials,2008,0.4617914720507814,0.17106089716714656,0.5925925925925926,0.5490688349532914,76.6
BBG004731032,LKOH,1,ЛУКОЙЛ,energy,2000,0.4412187033590458,0.09411267685470151,0.8888888888888888,0.5488556080401281,7021.0
BBG00475KHX6,TRNFP,1,Транснефть - привилегированные акции,energy,2002,0.4565792124770676,0.07681883091585245,0.8148148148148148,0.5487048211309119,1343.5
TCS00A0ZZAC4,SVCB,100,Совкомбанк,financial,2023,0.5751932830382956,0.03583601953611324,0.037037037037037035,0.5448040144466327,13.67
BBG004S685M3,RTKMP,10,Ростелеком - Привилегированные акции,telecom,1997,0.43209534700380864,0.04830246747957117,1.0,0.5429771814099126,58.9
TCS00Y3XYV94,MDMG,1,Мать и дитя,health_care,2020,0.49634053460070415,0.24499233332912534,0.14814814814814814,0.5418172283210397,890.4
BBG004S68JR8,SVAV,1,СОЛЛЕРС,consumer,2005,0.4263165306954338,0.15596243477314586,0.7037037037037037,0.5268906148502195,794.0
BBG004S687G6,MSRS,1000,Россети Московский регион,utilities,2006,0.4535318024292786,0.051708109834746815,0.6666666666666666,0.5195991785958666,1.146
BBG004S68507,MAGN,10,Магнитогорский металлургический комбинат,materials,2006,0.4464589398469343,0.07431892109681204,0.6666666666666666,0.5190310572472875,37.985
BBG0047315D0,SNGS,100,Сургутнефтегаз,energy,2000,0.4071783344900702,0.09638141304932415,0.8888888888888888,0.5178894888933236,25.84
BBG004S686N0,BANEP,1,Башнефть - привилегированные акции,energy,2011,0.47402738546843015,0.053846437486929306,0.48148148148148145,0.5146392697966308,1274.5
TCS2207L1061,HHRU,1,HeadHunter Group PLC,it,2020,0.5105842992285349,0.08296169739798148,0.14814814814814814,0.5120951041811644,3908.0
TCS20A107662,HEAD,1,Хэдхантер,it,2020,0.5130581497251463,0.07378326593297345,0.14814814814814814,0.5119573389030437,4466.0
BBG004S681W1,MTSS,10,МТС,telecom,2004,0.42121097703978333,0.09406538564257796,0.7407407407407407,0.5106625800505032,198.15
BBG004S687W8,MSNG,1000,Мосэнерго,utilities,1997,0.38681692271689105,0.05973387795981233,1.0,0.5040171931441414,2.4015
BBG004730JJ5,MOEX,10,Московская Биржа,financial,2013,0.47020773760457835,0.06349814615662157,0.4074074074074074,0.5038412155337633,209.18
BBG000NLB2G3,KROT,10,Красный Октябрь,consumer,2006,0.4252963935005763,0.08788448588450778,0.6666666666666666,0.503000314464387,1806.0
BBG004S681B4,NLMK,10,НЛМК,materials,2006,0.4260634119205386,0.077450850776114,0.6666666666666666,0.5009471494164923,134.6
BBG000FWGSZ5,IRKT,100,Яковлев,industrials,2004,0.43242658532280226,0.017661597690498503,0.7407407407407407,0.5008196765209807,31.5
BBG004S68CP5,MVID,1,М.Видео,consumer,2007,0.3821256839523513,0.24868129176694068,0.6296296296296297,0.5006636129507406,99.8
BBG004S684M6,SIBN,1,Газпром нефть,energy,1999,0.3923212250297762,0.06393181734399075,0.9259259259259259,0.5004206659115497,571.5
BBG004S68B31,ALRS,10,АЛРОСА,materials,2011,0.4475077239147,0.09138440858428114,0.48148148148148145,0.4999922620826793,53.22
BBG004731354,ROSN,1,Роснефть,energy,2006,0.4238401838919668,0.07933001874073856,0.6666666666666666,0.49938334288183067,480.1
BBG004S688G4,AKRN,1,Акрон,materials,2006,0.3977160601707438,0.12145259663544529,0.6666666666666666,0.4863178564355552,17008.0
TCS00A105EX7,WUSH,1,Whoosh,industrials,2022,0.4913979410566879,0.08681890017231174,0.07407407407407407,0.4855114858875247,169.6
BBG004730RP0,GAZP,10,Газпром,energy,2006,0.39225546898196273,0.13528827023892293,0.6666666666666666,0.4849198422165125,133.37
BBG000GQSVC2,NKNCP,10,Нижнекамскнефтехим (привилегированные),materials,2008,0.41948580953146136,0.041411255565654455,0.5925925925925926,0.47548531560610124,68.6
BBG004730ZJ9,VTBR,1,Банк ВТБ,financial,2007,0.39369975751256203,0.10259050296805801,0.6296296296296297,0.47268912156219356,80.59
RU000A106T36,ASTR,1,Группа Астра,it,2023,0.479713840990864,0.09563117393260222,0.037037037037037035,0.47210453970267746,508.0
TCS00A106XF2,HNFG,1,HENDERSON,consumer,2023,0.49483936366819187,0.04039332709231437,0.037037037037037035,0.4714955330293896,577.1
BBG004S68473,IRAO,100,Интер РАО ЕЭС,utilities,2008,0.3951422196793138,0.10157149688920478,0.5925925925925926,0.46885019443783477,4.13
BBG004S68696,RASP,10,Распадская,materials,2007,0.38931763072875075,0.0856637348829152,0.6296296296296297,0.46414051552745567,272.9
BBG00475KKY8,NVTK,1,НОВАТЭК,energy,2004,0.35031225990389353,0.16620725159047278,0.7407407407407407,0.4640293065811355,917.8
BBG000NLC9Z6,LSNG,100,Ленэнерго,utilities,2000,0.36990952615366307,0.02296984932358868,0.8888888888888888,0.46387751409500133,13.45
BBG007N0Z367,AGRO,1,РусАгро,consumer,2014,0.43302649335293725,0.05824647370394818,0.37037037037037035,0.46306323724507614,1202.6
TCS00A0JNXF9,PRFN,100,ЧЗПСН,materials,2012,0.40040178228733087,0.13382253303236732,0.4444444444444444,0.46264635703331636,5.14
TCS00A0HG602,OBNEP,1,Обьнефтегазгеология - привилегированные акции,materials,2023,0.43918509644863574,0.20064642281901024,0.037037037037037035,0.46234477997529677,541.88
BBG002458LF8,SELG,10,Селигдар,materials,2011,0.40695147243579394,0.09015821356367681,0.48148148148148145,0.46205765450120184,45.49
BBG000LWNRP3,RKKE,1,РКК Энергия им.С.П.Королева,industrials,2008,0.4024387435061479,0.037427724884475336,0.5925925925925926,0.4586213079694615,18800.0
BBG008F2T3T2,RUAL,10,РУСАЛ,materials,2015,0.4199407003922269,0.10364569607166739,0.3333333333333333,0.4580503776694907,39.65
BBG002GHV6L9,SPBE,1,СПБ Биржа,financial,2021,0.45521617854852453,0.0895249788098559,0.1111111111111111,0.4575820263955717,129.6
BBG004TC84Z8,TRMK,10,Трубная Металлургическая Компания,materials,2007,0.38195716993079387,0.08302206552435534,0.6296296296296297,0.4566148871161164,109.46
BBG012YQ6P43,CIAN,1,Циан АДР,it,2021,0.46881810412773944,0.036252083180581145,0.1111111111111111,0.4560807426665591,620.0
BBG000SR0YS4,LNZLP,1,Лензолото - привилегированные акции,materials,2009,0.3934120876390163,0.07199826189129038,0.5555555555555556,0.4545035487799634,1875.0
BBG004S689R0,PHOR,1,ФосАгро,materials,2011,0.4010841019746929,0.07794884485385709,0.48148148148148145,0.453381616810198,5433.0
BBG009GSYN76,CBOM,100,МКБ,financial,2015,0.4303278497468504,0.04146459973342791,0.3333333333333333,0.4512075968887591,7.283
BBG004S68CV8,VSMO,1,ВСМПО-АВИСМА,materials,2005,0.3822268916152841,0.012576311352353478,0.7037037037037037,0.44801316279943093,24360.0
BBG004731489,GMKN,10,Норильский никель,materials,2006,0.36734419556384,0.08283547761336826,0.6666666666666666,0.4479207491071948,115.16
