FIGI,TICKER,LOT,NAME,SECTOR,FIRST_TRADE_YEAR,PRICE_ANALYZE,VOLUME_ANALYZE,FIRST_DAY_ANALYZE,OVERALL_ANALYZE,NOWADAY_PRICE
BBG008HD3V85,UWGN,1,ОВК,industrials,2018,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000V07CB8,DVEC,1000,ДЭК,utilities,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S682Z6,RTKM,10,Ростелеком,telecom,2000,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS30A108JF7,PRMD,1,Промомед,health_care,2024,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A107RM8,ZAYM,10,МФК Займер,financial,2024,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S681W1,MTSS,10,МТС,telecom,2004,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A109B25,OZPH,10,Озон Фармацевтика,health_care,2024,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000RG4ZQ4,TGKN,100000,ТГК-14,utilities,2007,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00475KHX6,TRNFP,1,Транснефть - привилегированные акции,energy,2002,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG00475JZZ6,FEES,10000,ФСК Россети,utilities,2008,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
TCS00A0HG6Z8,OBNE,1,Обьнефтегазгеология - ао,materials,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000MZL0Y6,PMSB,10,Пермэнергосбыт,utilities,2006,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG000QFB4J6,ZILLP,1,ЗИЛ - акции привилегированные,real_estate,2023,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
BBG004S687G6,MSRS,1000,Россети Московский регион,utilities,2006,0.4195808189460851,0.0658183509494299,0.0,0.23611774985281453,0
